ID,OriginallyMassAction,OriginallyPolynomial,NumberReactions,IrrelevantSpecies,EffectivelyFullRank,Consistent,IntegerCoefficients,Linear,NondegenerateWrtConservationLaws,Nondegenerate,SpeciesWithGenericLocalACR
BIOMD0000000002,true,true,34,Int64[],false,true,true,false,true,true,Int64[]
BIOMD0000000003,false,false,7,Int64[],true,true,true,true,true,true,Int64[]
BIOMD0000000004,false,false,7,Int64[],false,true,true,true,true,true,[1]
BIOMD0000000006,false,true,3,[4],false,true,true,true,true,true,Int64[]
BIOMD0000000008,false,false,13,Int64[],true,true,true,false,true,true,Int64[]
BIOMD0000000009,false,false,30,"[23, 24, 25, 26]",false,true,true,false,true,true,Int64[]
BIOMD0000000010,false,false,10,Int64[],false,true,true,true,true,true,Int64[]
BIOMD0000000011,true,true,30,Int64[],false,true,true,false,true,true,Int64[]
BIOMD0000000013,false,false,30,Int64[],false,false,true,false,,,
BIOMD0000000014,true,true,300,Int64[],false,true,true,false,true,true,Int64[]
BIOMD0000000015,false,false,37,[18],true,false,true,false,,,
BIOMD0000000017,false,false,14,Int64[],false,false,true,false,,,
BIOMD0000000019,false,false,242,"[95, 96, 97, 98, 99, 100]",false,false,true,false,,,
BIOMD0000000021,false,false,26,Int64[],true,true,true,false,true,true,Int64[]
BIOMD0000000022,false,false,34,[13],true,false,true,false,,,
BIOMD0000000023,false,false,22,Int64[],false,true,true,false,true,true,Int64[]
BIOMD0000000024,false,false,4,Int64[],false,true,true,true,true,true,Int64[]
BIOMD0000000026,true,true,16,Int64[],false,true,true,false,true,true,Int64[]
BIOMD0000000027,false,false,4,"[4, 5]",false,true,true,true,true,true,Int64[]
BIOMD0000000028,true,true,27,Int64[],false,true,true,false,true,true,Int64[]
BIOMD0000000029,false,false,7,"[5, 6]",false,true,true,true,true,true,Int64[]
BIOMD0000000030,true,true,32,Int64[],false,true,true,false,true,true,Int64[]
BIOMD0000000031,false,false,4,"[4, 5, 6]",false,true,true,true,true,true,Int64[]
BIOMD0000000032,false,false,94,Int64[],false,true,true,false,true,true,"[1, 2, 3, 36, 37]"
BIOMD0000000033,false,false,48,"[13, 30, 31, 32]",false,true,true,false,true,true,Int64[]
BIOMD0000000035,true,true,16,Int64[],false,false,true,false,,,
BIOMD0000000036,false,false,5,Int64[],false,true,true,true,true,true,Int64[]
BIOMD0000000037,false,false,12,Int64[],false,false,true,false,,,
BIOMD0000000038,true,true,20,Int64[],false,true,true,false,true,true,Int64[]
BIOMD0000000039,false,false,7,Int64[],false,true,false,false,,,
BIOMD0000000040,true,true,5,Int64[],false,false,true,false,,,
BIOMD0000000041,false,false,17,Int64[],false,true,true,false,true,true,Int64[]
BIOMD0000000042,false,false,34,Int64[],true,true,true,false,true,true,Int64[]
BIOMD0000000043,false,false,7,Int64[],false,true,true,true,true,true,Int64[]
BIOMD0000000044,false,false,8,Int64[],false,true,true,true,true,true,[3]
BIOMD0000000045,false,false,8,Int64[],false,true,true,true,true,true,Int64[]
BIOMD0000000046,false,true,15,Int64[],false,false,true,false,,,
BIOMD0000000048,false,false,47,Int64[],false,true,true,false,true,true,Int64[]
BIOMD0000000049,false,false,216,"[29, 31]",false,false,true,false,,,
BIOMD0000000050,true,true,16,Int64[],false,false,true,false,,,
BIOMD0000000052,true,true,11,Int64[],false,false,true,false,,,
BIOMD0000000053,false,false,12,Int64[],true,false,true,false,,,
BIOMD0000000054,false,false,5,Int64[],true,false,true,false,,,
BIOMD0000000055,false,false,32,Int64[],true,true,true,true,true,true,Int64[]
BIOMD0000000057,true,true,10,Int64[],false,true,true,true,true,true,Int64[]
BIOMD0000000058,false,false,11,Int64[],true,true,true,true,true,true,Int64[]
BIOMD0000000060,true,true,6,Int64[],false,true,true,true,true,true,Int64[]
BIOMD0000000061,false,false,48,Int64[],false,true,true,false,true,true,[7]
BIOMD0000000062,false,false,10,"[3, 4]",true,true,true,true,true,true,Int64[]
BIOMD0000000064,false,false,28,"[22, 23, 24, 25, 26]",false,false,true,false,,,
BIOMD0000000065,false,false,16,[9],true,true,true,true,true,true,Int64[]
BIOMD0000000066,false,false,14,Int64[],false,true,true,false,true,true,Int64[]
BIOMD0000000067,false,false,16,Int64[],true,true,true,true,true,true,Int64[]
BIOMD0000000068,false,false,6,"[7, 8, 9]",false,true,true,false,true,true,Int64[]
BIOMD0000000069,false,true,12,Int64[],false,false,true,false,,,
BIOMD0000000070,false,false,76,Int64[],false,true,true,false,true,true,"[1, 44]"
BIOMD0000000072,false,true,8,Int64[],false,false,true,false,,,
BIOMD0000000073,false,false,52,Int64[],true,true,true,false,true,true,Int64[]
BIOMD0000000074,false,false,62,Int64[],true,true,true,false,true,true,Int64[]
BIOMD0000000075,false,false,16,"[4, 9, 10]",false,true,true,false,true,true,[10]
BIOMD0000000076,false,false,4,Int64[],false,true,true,true,true,true,Int64[]
BIOMD0000000078,false,false,52,Int64[],true,true,true,false,true,true,Int64[]
BIOMD0000000079,false,false,6,Int64[],true,true,true,true,true,true,Int64[]
BIOMD0000000080,true,true,10,Int64[],false,false,true,false,,,
BIOMD0000000082,true,true,10,Int64[],false,false,true,false,,,
BIOMD0000000083,false,false,62,Int64[],true,true,true,false,true,true,Int64[]
BIOMD0000000084,false,false,16,Int64[],false,true,true,true,true,true,Int64[]
BIOMD0000000085,true,true,34,Int64[],false,true,true,false,true,true,Int64[]
BIOMD0000000086,true,true,48,Int64[],false,true,true,false,true,true,Int64[]
BIOMD0000000089,false,false,41,Int64[],true,true,true,true,true,true,Int64[]
BIOMD0000000090,false,false,21,Int64[],false,false,true,false,,,
BIOMD0000000091,false,true,23,[16],false,false,true,false,,,
BIOMD0000000092,true,true,6,Int64[],false,true,true,false,true,true,Int64[]
BIOMD0000000093,false,false,46,Int64[],false,false,true,false,,,
BIOMD0000000098,false,false,6,Int64[],true,true,true,true,true,true,Int64[]
BIOMD0000000099,false,true,14,Int64[],true,true,true,true,true,true,Int64[]
BIOMD0000000100,false,false,10,Int64[],false,true,true,true,true,true,"[3, 5]"
BIOMD0000000102,false,true,37,Int64[],true,true,true,false,true,true,Int64[]
BIOMD0000000103,false,true,61,Int64[],true,true,true,false,true,true,Int64[]
BIOMD0000000105,false,true,94,Int64[],false,false,true,false,,,
BIOMD0000000106,false,false,44,"[7, 10, 11, 16, 17, 18]",true,false,true,true,,,
BIOMD0000000107,false,false,23,Int64[],false,false,true,false,,,
BIOMD0000000108,false,true,18,"[8, 9]",true,true,true,false,true,true,Int64[]
BIOMD0000000110,false,false,30,"[3, 4, 15]",true,true,true,false,true,true,Int64[]
BIOMD0000000112,false,false,12,Int64[],false,false,true,false,,,
BIOMD0000000113,false,false,8,[3],true,true,true,true,true,true,Int64[]
BIOMD0000000114,false,false,5,Int64[],true,true,true,true,true,true,Int64[]
BIOMD0000000115,false,false,5,Int64[],true,true,true,true,true,true,Int64[]
BIOMD0000000116,false,false,10,Int64[],true,true,true,true,true,true,Int64[]
BIOMD0000000123,false,true,34,Int64[],false,true,true,false,true,true,Int64[]
BIOMD0000000143,false,false,20,Int64[],false,false,true,false,,,
BIOMD0000000145,false,false,12,"[6, 7]",true,true,false,false,,,
BIOMD0000000146,false,false,47,"[34, 35, 36]",false,true,true,false,true,true,Int64[]
BIOMD0000000147,false,true,70,Int64[],false,false,true,false,,,
BIOMD0000000151,false,false,110,"[1, 58]",false,false,false,false,,,
BIOMD0000000154,false,false,5,Int64[],true,true,true,true,true,true,Int64[]
BIOMD0000000156,false,true,6,Int64[],true,true,true,true,true,true,Int64[]
BIOMD0000000157,false,false,7,Int64[],true,true,true,true,true,true,Int64[]
BIOMD0000000159,false,true,7,Int64[],true,true,true,true,true,true,Int64[]
BIOMD0000000161,false,false,86,"[4, 34]",false,true,true,false,true,true,"[15, 20, 23, 32]"
BIOMD0000000162,false,false,90,"[1, 7]",true,true,true,false,true,true,Int64[]
BIOMD0000000163,false,true,26,Int64[],false,true,true,false,true,true,"[5, 6, 7, 8, 9, 10, 11, 12, 13, 16]"
BIOMD0000000164,false,false,58,"[3, 8, 25]",false,true,true,false,true,true,[15]
BIOMD0000000165,false,false,60,[18],false,true,true,false,true,true,"[2, 8, 16, 23, 35]"
BIOMD0000000166,false,false,18,Int64[],true,true,true,true,true,true,Int64[]
BIOMD0000000167,false,false,14,"[3, 8]",false,true,true,false,true,true,[7]
BIOMD0000000169,false,false,27,Int64[],true,true,true,false,true,true,Int64[]
BIOMD0000000170,false,false,17,Int64[],true,true,true,true,true,true,Int64[]
BIOMD0000000171,false,false,27,"[11, 12]",true,true,true,false,true,true,Int64[]
BIOMD0000000172,false,false,31,[9],false,false,true,false,,,
BIOMD0000000173,false,false,42,Int64[],false,false,true,false,,,
BIOMD0000000174,false,false,10,Int64[],true,true,true,true,true,true,Int64[]
BIOMD0000000176,false,false,32,[7],false,false,true,false,,,
BIOMD0000000177,false,false,35,[7],false,false,true,false,,,
BIOMD0000000178,false,true,4,[1],false,false,true,true,,,
BIOMD0000000181,false,false,18,Int64[],true,true,true,true,true,true,Int64[]
BIOMD0000000182,false,false,64,"[9, 11, 26, 34, 36]",false,true,true,false,true,true,Int64[]
BIOMD0000000184,false,false,7,Int64[],true,true,true,true,true,true,Int64[]
BIOMD0000000185,false,false,20,Int64[],true,true,true,true,true,true,Int64[]
BIOMD0000000191,false,false,5,Int64[],true,false,true,true,,,
BIOMD0000000192,false,false,18,[9],false,true,true,false,true,true,Int64[]
BIOMD0000000198,false,true,12,"[11, 12]",false,false,true,false,,,
BIOMD0000000199,false,true,10,[15],false,false,false,false,,,
BIOMD0000000200,true,true,46,[22],false,true,true,false,true,true,Int64[]
BIOMD0000000201,false,false,36,"[17, 18, 19, 20, 21, 22, 23, 25, 26]",false,true,true,false,true,true,"[1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16]"
BIOMD0000000203,false,false,10,"[6, 7]",true,false,true,false,,,
BIOMD0000000204,false,false,10,"[6, 7]",true,false,true,false,,,
BIOMD0000000205,true,true,313,Int64[],false,false,true,false,,,
BIOMD0000000206,false,false,22,Int64[],true,true,false,false,,,
BIOMD0000000208,false,false,15,Int64[],true,true,true,true,true,true,Int64[]
BIOMD0000000209,false,false,12,"[7, 9, 10, 11, 12, 19, 20]",false,false,true,true,,,
BIOMD0000000210,false,false,12,"[7, 9, 10, 17, 18]",false,false,true,true,,,
BIOMD0000000211,false,false,39,Int64[],false,false,true,false,,,
BIOMD0000000212,false,false,25,"[2, 4, 6, 7, 8, 10, 12, 13, 16, 17, 18, 19, 20, 22, 24, 28, 30]",false,false,true,true,,,
BIOMD0000000213,false,false,12,"[7, 8, 9, 10, 11, 12, 13, 14]",false,true,true,true,true,true,Int64[]
BIOMD0000000214,false,false,25,"[13, 14, 15, 16]",true,true,true,true,true,true,Int64[]
BIOMD0000000215,false,false,14,[3],true,true,true,true,true,true,Int64[]
BIOMD0000000216,false,false,17,[6],false,true,true,false,true,true,[1]
BIOMD0000000217,false,false,32,Int64[],false,true,true,false,true,true,[22]
BIOMD0000000218,false,false,28,Int64[],false,true,true,false,true,true,"[2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]"
BIOMD0000000219,false,false,30,Int64[],false,true,true,false,true,true,"[2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]"
BIOMD0000000220,false,true,70,Int64[],false,false,true,false,,,
BIOMD0000000221,false,false,22,Int64[],false,true,true,false,true,true,"[2, 4, 5, 6, 7, 8, 9, 10, 11, 12]"
BIOMD0000000222,false,false,22,Int64[],false,true,true,false,true,true,"[2, 4, 5, 6, 7, 8, 9, 10, 11, 12]"
BIOMD0000000224,false,false,6,Int64[],false,true,true,true,true,true,"[2, 4]"
BIOMD0000000225,false,false,3,[3],false,false,true,true,,,
BIOMD0000000226,false,true,24,Int64[],false,false,true,false,,,
BIOMD0000000228,false,false,22,Int64[],true,true,true,true,true,true,Int64[]
BIOMD0000000229,false,true,28,Int64[],true,true,true,true,true,true,Int64[]
BIOMD0000000230,false,true,64,Int64[],false,false,true,false,,,
BIOMD0000000231,false,false,8,Int64[],false,true,true,false,true,true,[4]
BIOMD0000000233,true,true,4,Int64[],false,false,true,false,,,
BIOMD0000000236,false,false,7,"[3, 5, 6]",true,false,true,false,,,
BIOMD0000000237,false,false,62,Int64[],false,true,true,false,true,true,Int64[]
BIOMD0000000239,false,false,74,Int64[],false,false,true,false,,,
BIOMD0000000240,false,false,14,Int64[],true,true,true,false,true,true,Int64[]
BIOMD0000000242,false,false,12,Int64[],true,true,true,false,true,true,Int64[]
